Timestamp;Throuput;Run
02-01-2021 8:00;62.96652141;Off
02-01-2021 8:10;1494.940044;Off
02-01-2021 8:20;3770.1008;ON
02-01-2021 8:30;1543.871607;ON
02-01-2021 8:40;3302.405642;ON
02-01-2021 8:50;3035.930571;ON
02-01-2021 9:00;3136.116215;ON
02-01-2021 9:10;3813.437783;ON
02-01-2021 9:20;3314.614133;ON
02-01-2021 9:30;3171.059892;ON
02-01-2021 9:40;3488.179594;ON
02-01-2021 9:50;2678.624088;ON
02-01-2021 10:00;3634.843936;ON
02-01-2021 10:10;3688.980012;ON
02-01-2021 10:20;2702.962903;ON
02-01-2021 10:30;1315.856387;ON
02-01-2021 10:40;31.70945692;ON
02-01-2021 10:50;1715.955083;ON
02-01-2021 11:00;3563.633927;ON
02-01-2021 11:10;2796.328105;ON
02-01-2021 11:20;3837.556818;ON
02-01-2021 11:30;6327.729545;ON
02-01-2021 11:40;6340.096218;ON
02-01-2021 11:50;6365.472974;ON
02-01-2021 12:00;5890.726831;ON
02-01-2021 12:10;5167.172151;ON
02-01-2021 12:20;6021.359131;ON
02-01-2021 12:30;5357.932958;ON
02-01-2021 12:40;6186.486981;ON
02-01-2021 12:50;5543.537835;ON
02-01-2021 13:00;5393.655246;ON
02-01-2021 13:10;4463.005044;ON
02-01-2021 13:20;6679.68912;ON
02-01-2021 13:30;5152.59565;ON
02-01-2021 13:40;5729.09959;ON
02-01-2021 13:50;6070.084378;ON
02-01-2021 14:00;4640.348379;ON
02-01-2021 14:10;4402.747112;ON
02-01-2021 14:20;6679.717732;ON
02-01-2021 14:30;6644.416719;ON
02-01-2021 14:40;6251.194896;ON
02-01-2021 14:50;5807.843848;ON
02-01-2021 15:00;5700.75218;ON
02-01-2021 15:10;6512.141898;ON
02-01-2021 15:20;5527.373302;ON
02-01-2021 15:30;5769.100628;ON
02-01-2021 15:40;4110.603008;ON
02-01-2021 15:50;5344.151529;ON
02-01-2021 16:00;6180.5332;ON
02-01-2021 16:10;5841.586734;ON
02-01-2021 16:20;3647.00108;ON
02-01-2021 16:30;5622.357632;ON
02-01-2021 16:40;5304.1703;ON
02-01-2021 16:50;3780.677153;ON
02-01-2021 17:00;6038.918363;ON
02-01-2021 17:10;5564.951474;ON
02-01-2021 17:20;5183.888018;ON
02-01-2021 17:30;5696.827965;ON
02-01-2021 17:40;4584.374202;ON
02-01-2021 17:50;6017.68866;ON
02-01-2021 18:00;2200.685391;ON
02-01-2021 18:10;5936.356568;ON
02-01-2021 18:20;5215.851798;ON
02-01-2021 18:30;5718.537699;ON
02-01-2021 18:40;3933.686278;ON
02-01-2021 18:50;3540.946607;ON
02-01-2021 19:00;5926.239884;ON
02-01-2021 19:10;6266.732256;ON
02-01-2021 19:20;5918.33722;ON
02-01-2021 19:30;5980.917242;ON
02-01-2021 19:40;5689.930261;ON
02-01-2021 19:50;2802.411195;ON
02-01-2021 20:00;0;Off
02-01-2021 20:10;0;Off
02-01-2021 20:20;0;Off
02-01-2021 20:30;0;Off
02-01-2021 20:40;34.02785639;ON
02-01-2021 20:50;2196.359538;ON
02-01-2021 21:00;2137.65942;ON
02-01-2021 21:10;3360.183882;ON
02-01-2021 21:20;5539.477485;ON
02-01-2021 21:30;5268.741625;ON
02-01-2021 21:40;5183.002443;ON
02-01-2021 21:50;5626.62097;ON
02-01-2021 22:00;5304.795537;ON
02-01-2021 22:10;5470.445657;ON
02-01-2021 22:20;5348.590395;ON
02-01-2021 22:30;5586.091296;ON
02-01-2021 22:40;5260.55534;ON
02-01-2021 22:50;5234.38317;ON
02-01-2021 23:00;5348.018608;ON
02-01-2021 23:10;5207.723568;ON
02-01-2021 23:20;5334.102111;ON
02-01-2021 23:30;5518.338004;ON
02-01-2021 23:40;5523.834472;ON
02-01-2021 23:50;5536.412608;ON
03-01-2021 0:00;5627.946156;ON
03-01-2021 0:10;5747.906434;ON
03-01-2021 0:20;5852.345489;ON
03-01-2021 0:30;5730.723311;ON
03-01-2021 0:40;5935.787026;ON
03-01-2021 0:50;4606.513345;ON
03-01-2021 1:00;5104.719851;ON
03-01-2021 1:10;2102.045709;ON
03-01-2021 1:20;0;Off
03-01-2021 1:30;0;Off
03-01-2021 1:40;0;Off
03-01-2021 1:50;0;Off
03-01-2021 2:00;0;Off
03-01-2021 2:10;0;Off
03-01-2021 2:20;0;Off
03-01-2021 2:30;0;Off
03-01-2021 2:40;0;Off
03-01-2021 2:50;147.8898814;Off
03-01-2021 3:00;3100.382463;Off
03-01-2021 3:10;0;Off
03-01-2021 3:20;0;Off
03-01-2021 3:30;2.526605862;Off
03-01-2021 3:40;29.16364453;Off
03-01-2021 3:50;61.24568691;Off
03-01-2021 4:00;3483.637927;ON
03-01-2021 4:10;2801.317158;ON
03-01-2021 4:20;4914.521485;ON
03-01-2021 4:30;6495.623115;ON
03-01-2021 4:40;5410.959622;ON
03-01-2021 4:50;4778.835269;ON
03-01-2021 5:00;5239.311458;ON
03-01-2021 5:10;5660.803864;ON
03-01-2021 5:20;5684.017317;ON
03-01-2021 5:30;5351.709105;ON
03-01-2021 5:40;6445.017118;ON
03-01-2021 5:50;4708.665481;ON
03-01-2021 6:00;5389.786033;ON
03-01-2021 6:10;4938.693172;ON
03-01-2021 6:20;3796.248879;ON
03-01-2021 6:30;1808.123176;ON
03-01-2021 6:40;2112.233851;ON
03-01-2021 6:50;3499.240294;ON
03-01-2021 7:00;3966.95167;ON
03-01-2021 7:10;2267.713888;ON
03-01-2021 7:20;2397.778836;ON
03-01-2021 7:30;2039.959072;ON
03-01-2021 7:40;2655.851193;ON
03-01-2021 7:50;5.343070878;Off
03-01-2021 8:00;83.46025125;Off
03-01-2021 8:10;654.3258653;Off
03-01-2021 8:20;1059.010755;ON
03-01-2021 8:30;22.64559494;ON
03-01-2021 8:40;0;ON
03-01-2021 8:50;0;Off
03-01-2021 9:00;0;Off
03-01-2021 9:10;0;Off
03-01-2021 9:20;0;Off
03-01-2021 9:30;58.38715941;Off
03-01-2021 9:40;2487.281826;ON
03-01-2021 9:50;4110.94631;ON
03-01-2021 10:00;4909.021516;ON
03-01-2021 10:10;5383.705973;ON
03-01-2021 10:20;1632.495292;ON
03-01-2021 10:30;5860.570552;ON
03-01-2021 10:40;6587.731479;ON
03-01-2021 10:50;5835.19578;ON
03-01-2021 11:00;4918.116759;ON
03-01-2021 11:10;5844.47733;ON
03-01-2021 11:20;6751.569531;ON
03-01-2021 11:30;6303.531328;ON
03-01-2021 11:40;4919.664882;ON
03-01-2021 11:50;5483.047554;ON
03-01-2021 12:00;6591.124686;ON
03-01-2021 12:10;6420.327915;ON
03-01-2021 12:20;6418.197087;ON
03-01-2021 12:30;6206.774101;ON
03-01-2021 12:40;6010.232835;ON
03-01-2021 12:50;6840.628526;ON
03-01-2021 13:00;1833.458365;ON
03-01-2021 13:10;0;ON
03-01-2021 13:20;0;Off
03-01-2021 13:30;0;Off
03-01-2021 13:40;0;Off
03-01-2021 13:50;0;Off
03-01-2021 14:00;0;Off
03-01-2021 14:10;0;Off
03-01-2021 14:20;0;Off
03-01-2021 14:30;0;Off
03-01-2021 14:40;0;Off
03-01-2021 14:50;0;Off
03-01-2021 15:00;0;Off
03-01-2021 15:10;0;Off
03-01-2021 15:20;0;Off
03-01-2021 15:30;0;Off
03-01-2021 15:40;0;Off
03-01-2021 15:50;0;Off
03-01-2021 16:00;0;Off
03-01-2021 16:10;0;Off
03-01-2021 16:20;0;Off
03-01-2021 16:30;0;Off
03-01-2021 16:40;0;Off
03-01-2021 16:50;0;Off
03-01-2021 17:00;0;Off
03-01-2021 17:10;0;Off
03-01-2021 17:20;0;Off
03-01-2021 17:30;0;Off
03-01-2021 17:40;0;Off
03-01-2021 17:50;0;Off
03-01-2021 18:00;0;Off
03-01-2021 18:10;0;Off
03-01-2021 18:20;24.25057115;Off
03-01-2021 18:30;1740.921841;Off
03-01-2021 18:40;2708.794434;ON
03-01-2021 18:50;2385.616015;ON
03-01-2021 19:00;5028.964856;ON
03-01-2021 19:10;6119.027687;ON
03-01-2021 19:20;5779.046332;ON
03-01-2021 19:30;5786.155067;ON
03-01-2021 19:40;5986.268939;ON
03-01-2021 19:50;4520.254997;ON
03-01-2021 20:00;6.98343384;Off
03-01-2021 20:10;2790.450635;ON
03-01-2021 20:20;4328.095385;ON
03-01-2021 20:30;5930.92097;ON
03-01-2021 20:40;6433.307726;ON
03-01-2021 20:50;5401.86184;ON
03-01-2021 21:00;5592.646475;ON
03-01-2021 21:10;3288.439185;ON
03-01-2021 21:20;3226.302008;ON
03-01-2021 21:30;4863.530654;ON
03-01-2021 21:40;5271.424839;ON
03-01-2021 21:50;5317.27239;ON
03-01-2021 22:00;5470.367521;ON
03-01-2021 22:10;6157.93085;ON
03-01-2021 22:20;5303.713684;ON
03-01-2021 22:30;6674.652824;ON
03-01-2021 22:40;6562.342093;ON
03-01-2021 22:50;4605.077309;ON
03-01-2021 23:00;3832.014051;ON
03-01-2021 23:10;6346.290159;ON
03-01-2021 23:20;6660.306363;ON
03-01-2021 23:30;6373.764782;ON
03-01-2021 23:40;3581.587669;ON
03-01-2021 23:50;6085.035141;ON
